web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,lat,lon
1733470899-40,NIESMANN + BISCHOFF ISMOVE 6.9 E,CHF 109'000.–,25'300 km,Diesel,"BERNSTRASSE 115, 3613 STEFFISBURG",109000,25300,1,100000 - 199999,46.774803161621094,7.615665435791016
1733470901-41,FIAT ADRIA SUN LIVING A70DK - AB MFK & GASPRÜFUNG,CHF 49'900.–,20'552 km,Diesel,"STEIGSTRASSE 26, 8406 WINTERTHUR",49900,20552,1,20000 - 49999,47.47664260864258,8.702418327331543
1733470904-42,IVECO 35.10 TURBO DAILY,CHF 3'900.–,192'000 km,Diesel,"ROUTE DE SULLENS 9, 1303 PENTHAZ VD",3900,192000,1,0 - 19999,46.597469329833984,6.542710781097412
1733470906-43,ROLLER TEAM LIVINGSTONE DUO AVANCE L2,CHF 49'780.–,53'700 km,Diesel,"HAUPTSTRASSE 70, 8546 ISLIKON",49780,53700,1,20000 - 49999,47.54833221435547,8.849271774291992
1733470908-44,ADRIA TWIN SPORTS 640 SGX (A256),CHF 88'900.–,10'000 km,Diesel,"WANNENWEG 1, 4133 PRATTELN",88900,10000,1,50000 - 99999,47.523582458496094,7.711702823638916
1733470911-45,VW T6 CALIFORNIA 2.0 TDI COAST,CHF 48'500.–,61'000 km,Diesel,"OBFELDERSTRASSE 38, 8910 AFFOLTERN AM ALBIS",48500,61000,1,20000 - 49999,47.272743225097656,8.43922233581543
1733470915-47,MERCEDES-BENZ MARCO POLO HORIZON 250 D 4M AUTOMAT,CHF 75'000.–,40'000 km,Diesel,"GOLDSCHLÄGISTRASSE 19, 8952 SCHLIEREN",75000,40000,1,50000 - 99999,47.40155029296875,8.43859577178955
1733470933-53,FIAT 1.5Q 2.3TDI,CHF 5'500.–,119'000 km,Diesel,"VORBUCHENSTRASSE 13, 8303 BASSERSDORF",5500,119000,1,0 - 19999,47.441410064697266,8.616898536682129
1733470935-54,FIAT *** CARTHAGO CHIC LINE - FIAT DUCATO 150PS ***,CHF 57'700.–,109'000 km,Diesel,"KRIESBACHSTRASSE 7, 8304 WALLISELLEN",57700,109000,1,50000 - 99999,47.409698486328125,8.61287784576416
1733470938-55,SUN LIVING S-SERIES S70 DF (A276),CHF 71'900.–,14'500 km,Diesel,"WANNENWEG 1, 4133 PRATTELN",71900,14500,1,50000 - 99999,47.523582458496094,7.711702823638916
