web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,lat,lon
1733472023-372,"MALIBU CARTHAGO VAN 600 2,3 DIESEL FIAT DUCATO MULTIJET 150",CHF 49'997.–,32'648 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",49997,32648,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472026-373,"PÖSSL ROADCAR R 600 2,3 DIESEL FIAT DUCATO MULTIJET PROFESSIONAL 130",CHF 40'997.–,66'055 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",40997,66055,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472029-374,"SUNLIGHT CAPRON 600 2,3 DIESEL FIAT DUCATO MULTIJET 150",CHF 47'997.–,46'314 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",47997,46314,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472032-375,"ADRIA MATRIX M 670 SL 50 JAHRE EDITION 2,3 DIESEL FIAT DUCATO MULTIJET 150",CHF 59'997.–,11'702 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",59997,11702,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472038-376,"PÖSSL GLOBECAR CAMPSCOUT REVOLUTION 2,3 DIESEL HOCHDACH H3 FIAT DUCATO MAXI PROFESSIONAL MULTIJET 150",CHF 55'997.–,39'113 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",55997,39113,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472041-377,"CARADO A 461 2,3 DIESEL FIAT DUCATO MULTIJET 140",CHF 55'197.–,27'537 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",55197,27537,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472044-378,"LAIKA ECOVIP 609 2,3 DIESEL FIAT DUCATO MULTIJET 150",CHF 54'997.–,28'177 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",54997,28177,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472047-379,ROLLER TEAM PEGASO MYTHOS 285,CHF 73'900.–,38'900 km,Diesel,"VIA BELLINZONA 7, 6743 BODIO",73900,38900,1,50000 - 99999,46.375465393066406,8.919133186340332
1733472049-380,"CHAUSSON TWIST V 594 START LIMITED EDITION 2,3 DIESEL FIAT DUCATO MULTIJET 2 130",CHF 44'997.–,43'749 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",44997,43749,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472052-381,"CI CARAVANSINTERNATIONAL MAGIS 85 INTEGRAL 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 56'997.–,27'705 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",56997,27705,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472054-382,"CARADO A 461 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 47'997.–,43'126 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",47997,43126,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472057-383,"PÖSSL R 640 2,3 DIESEL FIAT DUCATO MAXI PROFESSIONAL MULTIJET 160",CHF 56'997.–,29'839 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",56997,29839,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472060-384,"RAPIDO 8096 DF PREMIUM EDITION 2,3 DIESEL FIAT DUCATO MULTIJET 150",CHF 67'997.–,30'531 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",67997,30531,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472063-385,"ROLLER TEAM KRONOS 267 TL 2,0 TDCI DIESEL FORD",CHF 57'597.–,24'094 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",57597,24094,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472073-387,"MALIBU CARTHAGO VAN V 600 DB 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 54'997.–,15'983 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",54997,15983,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472076-388,"KNAUS BOX STAR 630 FREEWAY 2,3 DIESEL 9G-AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 160",CHF 66'996.–,29'233 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",66996,29233,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472078-389,"CARADO CAPRON A 464 2,3 D FIAT DUCATO MULTIJET 140",CHF 57'597.–,18'286 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",57597,18286,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472081-390,"PILOTE G 650 GJ ESSENTIEL 2,3 DIESEL FIAT DUCATO MULTIJET 150",CHF 57'597.–,39'731 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",57597,39731,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472083-391,"HYMER YOSEMITE 2,3 DIESEL HUBDACH FIAT DUCATO MULTIJET 130",CHF 62'997.–,53'988 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",62997,53988,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472091-392,"BÜRSTNER LYSEO TIME IT 727 G HARMONY LINE 2,0 BLUEHDI CITROEN JUMPER",CHF 62'997.–,19'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",62997,19985,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472094-393,"KNAUS WEINSBERG CARABUS 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 130",CHF 63'997.–,16'694 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",63997,16694,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472102-394,"WEINSBERG KNAUS CARABUS 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 130",CHF 63'997.–,16'694 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",63997,16694,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472106-395,"LAIKA KOSMO F 261 2,3 DIESEL FIAT DUCATO MULTIJET",CHF 55'197.–,32'721 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",55197,32721,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472110-396,VW CALI. TDI OCE. ED. LIB. A,CHF 67'000.–,10'600 km,Diesel,"SPISI 9, 1714 HEITENRIED",67000,10600,1,50000 - 99999,46.82259750366211,7.301876544952393
1733472113-397,LAIKA ECOVIP 690,CHF 54'900.–,62'500 km,Diesel,"VIA ALLA FOCE N. 5, 6933 MUZZANO",54900,62500,1,50000 - 99999,45.997154235839844,8.911989212036133
1733472119-398,"ROLLER TEAM LIVINGSTONE 2 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 61'397.–,25'869 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",61397,25869,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472124-399,"LAIKA ECOVIP 309 S 2,3 DIESEL FIAT DUCATO MJ2 150",CHF 54'697.–,49'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",54697,49985,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472134-400,"ETRUSCO A 6600 BB 2,3 DIESEL FIAT DUCATO MJ 140",CHF 57'597.–,35'081 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",57597,35081,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472141-401,"ETRUSCO V 6600 SB 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 65'997.–,14'589 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",65997,14589,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472147-402,"PILOTE GALAXY G 650 ESSENTIEL 2,3 DIESEL FIAT DUCATO MJ 150",CHF 54'997.–,57'383 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",54997,57383,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472153-403,"ROLLER TEAM AUTO ROLLER KRONOS 264 TL 2,0 TDCI FORD",CHF 49'997.–,57'859 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",49997,57859,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472159-404,"CARADO I 447 EMOTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 180",CHF 69'997.–,19'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",69997,19985,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472169-406,"DETHLEFFS JUST 7052 EB 2,2 HDI DIESEL CITROEN JUMPER",CHF 63'997.–,14'231 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",63997,14231,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472175-407,"BENIMAR MILEO 263 2,3 DIESEL FIAT DUCATO MJ 160",CHF 65'996.–,33'854 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",65996,33854,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472180-408,"CHAUSSON TWIST V 594 START SPEZIAL EDITION 2,3  DIESEL FIAT DUCATO MJ 130",CHF 49'997.–,48'856 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",49997,48856,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472185-409,"PÖSSL GLOBECAR GLOBESTAR 600 L REVOLUTION 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO PROFESSIONAL MJ 150",CHF 56'997.–,42'124 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",56997,42124,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472198-411,"PILOTE V 630 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ 130",CHF 47'997.–,39'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",47997,39985,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472212-412,"KARMANN DAVIS 590 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160",CHF 59'997.–,19'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",59997,19985,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472218-413,"DETHLEFFS TREND T 6767 2,3 DIESEL FIAT DUCATO MJ 150",CHF 46'997.–,89'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",46997,89985,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472224-414,"FORD TRANSIT CUSTOM NUGGET WESTFALIA HOCHDACH H3 2,2 TDCI DIESEL",CHF 46'997.–,42'615 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",46997,42615,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472232-415,"ETRUSCO I 7400 SB COMPLETE SELECTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160",CHF 81'597.–,14'568 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",81597,14568,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472239-416,VW T5 CALIFORNIA 2.0 BI-TDI BEACH EDITION,CHF 25'000.–,199'800 km,Diesel,"WERKSTRASSE 1, 5608 STETTEN",25000,199800,1,20000 - 49999,47.40693283081055,8.31423568725586
1733472246-417,"PÖSSL V 640 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ 150",CHF 43'997.–,54'622 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",43997,54622,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472252-418,"ETRUSCO T 6900 QB 2,0 HDI DIESEL CITROEN JUMPER",CHF 59'997.–,25'019 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",59997,25019,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472258-419,"CHAUSSON 648 TITANIUM VIP 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 64'997.–,29'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",64997,29985,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472264-420,"LAIKA X 595 R 2,3 DIESEL FIAT DUCATO MJ 130",CHF 36'797.–,79'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",36797,79985,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472271-421,"ADRIA SUN LIVING V 65 SL 2,3 DIESEL FIAT DUCATO MJ",CHF 55'997.–,42'601 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",55997,42601,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472280-422,"KNAUS BOX STAR 600 DQ SOLUTION 4 2,3 DIESEL HOCHDACH H3 FIAT DUCATO MJ 150",CHF 56'997.–,38'286 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",56997,38286,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472287-423,"ROLLER TEAM KRONOS 291 P 2,0 TDCI DIESEL FORD",CHF 52'997.–,19'648 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",52997,19648,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472298-424,"CLEVER VANS TOUR 540 2,2 HDI DIESEL CITROEN JUMPER",CHF 45'997.–,35'586 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",45997,35586,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472309-425,"FORD TRANSIT CUSTOM NUGGET WESTFALIA AUFSTELLDACH 2,0 TDCI DIESEL AUTOMAT",CHF 54'697.–,24'401 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",54697,24401,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472319-426,"WEINSBERG CARABUS 631 ME EDITION FIRE 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 48'997.–,49'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",48997,49985,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472322-427,VW T6 CALIFORNIA 2.0 TDI 199 BEACH DSG 4M 7 PL.,CHF 62'900.–,26'000 km,Diesel,"DELSBERGERSTRASSE 181, 4242 LAUFEN",62900,26000,1,50000 - 99999,47.41001510620117,7.49330997467041
1733472326-428,"PÖSSL RAODCAR R 540 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ2 130",CHF 47'997.–,28'689 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",47997,28689,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472330-429,"ETRUSCO CV 600 DB COMPLETE SELECTION 2,3 DIESEL FIAT DUCATO MULTIJET 140",CHF 55'997.–,29'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",55997,29985,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472333-430,"VW T6.1 CALIFORNIA 2,0 TDI DSG 4X4 OCEAN EDITION LIBERTY",CHF 65'997.–,54'977 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",65997,54977,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472349-431,"VW T6.1 CALIFORNIA 2,0 TDI DSG 4X4 OCEAN EDITION LIBERTY",CHF 65'997.–,45'981 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",65997,45981,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472369-432,"FORD TRANSIT CUSTOM NUGGET WESTFALIA AUFSTELLDACH 2,0 TDCI DIESEL AUTOMAT",CHF 51'997.–,43'867 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",51997,43867,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472376-433,"PÖSSL VARIO 499 35 LIGHT 2,0 HDI DIESEL HOCHDACH H3 CITROEN JUMPER",CHF 55'997.–,26'216 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",55997,26216,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472382-434,"BÜRSTNER NEXXO TIME T 569 EDITION 30 YEARS 2,0 HDI CITROEN JUMPER",CHF 52'997.–,39'663 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",52997,39663,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472386-435,"ADRIA MATRIX AXESS 670 SL GT EDITION 2,3 DIESEL AUTOMAT FIAT DUCATO MJ 150",CHF 68'997.–,48'698 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",68997,48698,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472392-436,"HOBBY OPTIMA PREMIUM T 65 GQ 2,3 DIESEL AUTOMAT FIAT DUCATO MJ 150",CHF 64'997.–,28'515 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",64997,28515,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472398-437,"RIMOR EVO 95 PLUS 2,0 TDCI DIESEL AUTOMAT FORD",CHF 59'997.–,31'555 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",59997,31555,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472404-438,"HYMER EXIS-I EX 474 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140",CHF 79'996.–,23'640 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",79996,23640,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472410-439,"WEINSBERG CARASUITE 700 ME 2,3 DIESEL FIAT DUCATO MULTIJET 140",CHF 64'997.–,23'641 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",64997,23641,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472416-440,"CHAUSSON KOROS 720 2,0 TDCI DIESEL FORD",CHF 54'997.–,49'985 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",54997,49985,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472423-441,"CARADO CAPRON V 132 2,3 DIESEL FIAT DUCATO MJ",CHF 46'997.–,37'661 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",46997,37661,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472428-442,"HYMER GRAND CANYON 600 2,3 DIESEL FIAT DUCATO MAXI MJ2 150",CHF 46'997.–,48'440 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",46997,48440,1,20000 - 49999,47.741600036621094,8.709936141967773
1733472435-443,"CHAUSSON 747 GA WELCOME PREMIUM 2,3 DIESEL FIAT DUCATO MJ 130",CHF 59'997.–,26'652 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",59997,26652,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472440-444,"SUNLIGHT CAPRON I 69 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160",CHF 73'997.–,39'825 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",73997,39825,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472461-445,"RAPIDO CI CARAVANSINTERNATIONAL MAGIS 85 INTEGRAL 2,3 DIESEL FIAT DUCATO MULTIJET 130",CHF 56'997.–,27'705 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",56997,27705,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472465-446,"HOBBY OPTIMA T 65 FL ONTOUR 2,2 HDI DIESEL CITROEN JUMPER",CHF 62'997.–,12'847 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",62997,12847,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472469-447,"HYMER GRAND CANYON 600 2,3 DIESEL HUBDACH FIAT DUCATO MJ 150",CHF 53'997.–,39'890 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",53997,39890,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472480-449,VW TYP 2,CHF 19'900.–,200'000 km,Benzin,"PFÄFFIKERSTRASSE 31A, 8335 HITTNAU",19900,200000,0,0 - 19999,47.36789321899414,8.81820297241211
1733472485-450,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY,CHF 61'900.–,35'500 km,Diesel,"ROUTE DE GRANDCOUR 71, 1530 PAYERNE",61900,35500,1,50000 - 99999,46.83207321166992,6.935480117797852
1733472488-451,VW 2.0 TDI 4MOTION MULTIVAN CAMPER,CHF 25'900.–,186'000 km,Diesel,"THALERSTRASSE 46A, 9424 RHEINECK",25900,186000,1,20000 - 49999,47.467018127441406,9.58243179321289
1733472498-452,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY,CHF 61'900.–,74'000 km,Diesel,"RUE EUGÈNE-MARZIANO 18, 1227 LES ACACIAS",61900,74000,1,50000 - 99999,46.193580627441406,6.129368782043457
1733472504-453,VW T5 CALIFORNIA 2.0 TDI COMFORTLINE TRAVEL,CHF 50'500.–,51'000 km,Diesel,"RUE EUGÈNE-MARZIANO 18, 1227 LES ACACIAS",50500,51000,1,50000 - 99999,46.193580627441406,6.129368782043457
1733472510-454,DETHLEFFS XXLA 9000,CHF 169'500.–,13'500 km,Diesel,"BERNSTRASSE 115, 3613 STEFFISBURG",169500,13500,1,100000 - 199999,46.774803161621094,7.615665435791016
1733472513-455,MERCEDES-BENZ MARCO POLO 220 D A,CHF 62'900.–,16'900 km,Diesel,"INDUSTRIESTRASSE 6, 3421 LYSSACH",62900,16900,1,50000 - 99999,47.07102584838867,7.5950236320495605
1733472516-456,VW T6.1 CALIFORNIA 2.0 TDI OCEAN EDITION LIBERTY,CHF 59'500.–,29'008 km,Diesel,"BRUGGERSTRASSE 194, 5400 BADEN",59500,29008,1,50000 - 99999,47.48258972167969,8.278800010681152
1733472524-458,VW T6 CALIFORNIA 2.0 BI-TDI BEACH LIBERTY 4MOTION,CHF 47'900.–,109'000 km,Diesel,"LAUBISRÜTISTRASSE 77, 8713 UERIKON",47900,109000,1,20000 - 49999,47.23871994018555,8.749458312988281
1733472533-460,TOYOTA 400 HDT LONG 4.2D BUSCHTAXI,CHF 79'800.–,61'000 km,Diesel,"STAUFMOOS, 6170 SCHÜPFHEIM",79800,61000,1,50000 - 99999,46.924835205078125,8.018625259399414
1733472536-461,"KNAUS SKY TI 700 MEG PLATINUM SELECTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160",CHF 67'997.–,37'312 km,Diesel,"ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",67997,37312,1,50000 - 99999,47.741600036621094,8.709936141967773
1733472539-462,BRAVIA SWAN 636 165 PS SWISS ED.HIGH ROOF,CHF 74'900.–,20'000 km,Diesel,"UNTERE BRÜHLSTRASSE 48, 4800 ZOFINGEN",74900,20000,1,50000 - 99999,47.29646301269531,7.931781768798828
1733472542-463,VW T6 CALIFORNIA 2.0 BI-TDI BEACH EDITION 4MOTION,CHF 45'000.–,113'300 km,Diesel,"ROUTE DE NENDAZ 824, 1997 HAUTE-NENDAZ",45000,113300,1,20000 - 49999,46.18864440917969,7.297874450683594
1733472546-464,VW T6.1 CALIFORNIA 2.0 TDI OCEAN 4MOTION ANHÄNGELAST 2500KG SEITENSTOREN UND ELEKTRISCHES HOCHDACH  NEUPREIS 95840 CHF,CHF 66'900.–,42'014 km,Diesel,"ZENTRALSTRASSE 121, 8212 NEUHAUSEN AM RHEINFALL",66900,42014,1,50000 - 99999,47.686065673828125,8.622149467468262
1733472549-465,VW T6 CALIFORNIA 2.0 BI-TDI BEACH 4MOTION,CHF 49'900.–,71'500 km,Diesel,"AAWASSERSTRASSE 12, 6383 DALLENWIL",49900,71500,1,20000 - 49999,46.934852600097656,8.393327713012695
1733472553-466,VW T6 CALIFORNIA 2.0 BI-TDI OCEAN BLUE,CHF 55'800.–,33'100 km,Diesel,"KAPPELEN 30B, 3156 RIFFENMATT",55800,33100,1,50000 - 99999,46.76797103881836,7.352298259735107
1733472561-468,YUCON 6.0,CHF 99'900.–,12'266 km,Diesel,"KIRCHBERGSTRASSE 61, 3421 LYSSACH",99900,12266,1,50000 - 99999,47.07444381713867,7.581071853637695
1733472565-469,VW T6 CALIFORNIA 2.0 TDI OCEAN LIBERTY 4MOTION,CHF 51'900.–,61'500 km,Diesel,"GRUBENSTRASSE 7, 8957 SPREITENBACH",51900,61500,1,50000 - 99999,47.414920806884766,8.382509231567383
1733472569-470,FORD 100L,CHF 10'900.–,274'000 km,Benzin,"SEETALSTRASSE 35, 5503 SCHAFISHEIM",10900,274000,0,0 - 19999,47.37942886352539,8.14233112335205
1733472573-471,ITINEO 740 AUF FIAT DUCATO,CHF 59'800.–,17'598 km,Diesel,"OBFELDERSTRASSE 38, 8910 AFFOLTERN AM ALBIS",59800,17598,1,50000 - 99999,47.272743225097656,8.43922233581543
1733472586-472,MERCEDES-BENZ SPRINTER 313 CDI 4X4 AUTOMATIK / OFF-ROAD AUTARK CAMPER **FRISCH AB MFK**,CHF 46'990.–,63'109 km,Diesel,"BASELSTRASSE 25, 4534 FLUMENTHAL",46990,63109,1,20000 - 49999,47.24129867553711,7.598618030548096
1733472590-473,MERCEDES-BENZ MARCO POLO 250 D  4M AUTOMAT,CHF 69'500.–,32'000 km,Diesel,"UNTERWILRAIN 16, 6014 LUZERN",69500,32000,1,50000 - 99999,47.04911422729492,8.27134895324707
1733472593-474,FIAT CARADO A464 2.3 JTD,CHF 33'900.–,44'900 km,Diesel,"UMFAHRUNGSSTRASSE 9, 6467 SCHATTDORF",33900,44900,1,20000 - 49999,46.855812072753906,8.639747619628906
1733472595-475,DETHLEFFS ADVANTAGE I 7051EB,CHF 47'000.–,157'000 km,Diesel,"EISTRASSE 1, 6102 MALTERS",47000,157000,1,20000 - 49999,47.04475021362305,8.191388130187988
1733472600-476,VW T5 CALIFORNIA 2.0 TDI COMFORTLINE LAST EDITION,CHF 36'500.–,148'500 km,Diesel,"WILERSTRASSE 71, 9200 GOSSAU SG",36500,148500,1,20000 - 49999,47.41733932495117,9.236328125
1733472604-477,ETRUSCO LAIKA ETRUSCO 600 DF MIT AUTOMAT & DOPPELBETT!,CHF 57'777.–,10'900 km,Diesel,"HAUPTSTRASSE 216, 4565 RECHERSWIL",57777,10900,1,50000 - 99999,47.15408706665039,7.592122554779053
1733472612-479,MERCEDES-BENZ MARCO POLO 300 D 4M A,CHF 74'900.–,35'500 km,Diesel,"HAGENHOLZSTRASSE 111, 8050 ZÜRICH",74900,35500,1,50000 - 99999,47.41579055786133,8.562726974487305
1733472618-481,FORD CHALLENGER TRIGANO FD4,CHF 65'500.–,11'800 km,Diesel,"PRÉ DE L'OIE 3, 1853 YVORNE",65500,11800,1,50000 - 99999,46.344478607177734,6.943572521209717
1733472626-483,NISSAN NV400 LH2 WOHNMOBIL,CHF 39'999.–,25'000 km,Diesel,"LUZERNERSTRASSE 80, 6014 LUZERN",39999,25000,1,20000 - 49999,47.05141830444336,8.273253440856934
1733472630-484,CITROEN SPACE TOURER,CHF 20'900.–,128'800 km,Diesel,"KANTONSSTRASSE 34, 6232 GEUENSEE",20900,128800,1,20000 - 49999,47.19865417480469,8.108717918395996
1733472633-485,CARTHAGO CHIC S-PLUS,CHF 199'000.–,20'000 km,Diesel,"MITTLER-LANGNAU 1, 6105 SCHACHEN LU",199000,20000,1,100000 - 199999,47.040523529052734,8.134263038635254
